#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 09 10 00  88 10.9 12.3  2.61  7.14  5.63  99 1011.2  24.6  24.6 999.0 99.0 99.00
2008 01 09 11 00  85 11.0 13.4  2.45  7.14  5.39  90 1010.6  24.5  24.6 999.0 99.0 99.00
2008 01 09 12 00  87 10.6 12.5  2.87  8.33  5.74  89 1010.1  24.4  24.6 999.0 99.0 99.00
2008 01 09 13 00  87 10.3 12.3  2.56  7.69  5.72  91 1009.9  24.3  24.6 999.0 99.0 99.00
2008 01 09 14 00  93  9.8 11.1  2.52  7.14  5.56  94 1009.9  24.3  24.6 999.0 99.0 99.00
2008 01 09 15 00  92  9.9 11.6  2.58  9.09  5.59  66 1010.1  24.3  24.5 999.0 99.0 99.00
2008 01 09 16 00  96  9.9 11.7  2.58  7.14  5.61 103 1010.5  24.3  24.5 999.0 99.0 99.00
2008 01 09 17 00  96 10.2 11.5  2.65  8.33  5.84  69 1011.1  24.3  24.5 999.0 99.0 99.00
2008 01 09 18 00  91  9.7 11.5  2.50  7.69  5.68  92 1012.0  24.5  24.5 999.0 99.0 99.00
2008 01 09 19 00  92 10.7 12.8  2.62  9.09  5.61  47 1012.4  24.5  24.5 999.0 99.0 99.00
2008 01 09 20 00  90  9.7 11.4  2.51  7.14  5.59  97 1012.3  24.6  24.5 999.0 99.0 99.00
2008 01 09 21 00  91 10.4 12.2  2.56  8.33  5.65  83 1011.9  24.6  24.5 999.0 99.0 99.00
2008 01 09 22 00  94  9.7 11.8  2.66  8.33  5.82  74 1011.1  24.5  24.6 999.0 99.0 99.00
2008 01 09 23 00  92 10.0 11.9  2.55  8.33  5.75  86 1010.2  24.5  24.6 999.0 99.0 99.00
2008 01 10 00 00  89  9.8 11.7  2.37  7.14  5.48  91 1009.4  24.6  24.6 999.0 99.0 99.00
